359627100272035	 89820518104001003930
359627100275947	 89820518104001026470
359627100275384	 89820518104001029510
359627100276697	 89820518104000754210
359627100271748	 89820518104001028780
359627100273181	 89820518104001003850
359627100269478	 89820518104001027380
359627100271987	 89820518104001000620
359627100277174	 89820518104001025710
359627100271904	 89820518104001001380
359627100273066	 89820518104001004430
359627100277224	 89820518104001027790
359627100272472	 89820518104001003440
359627100270088	 89820518104001028450
359627100273835	 89820518104001003690
359627100271763	 89820518104001005420
359627100277216	 89820518104001027610
359627100271805	 89820518104001006900
359627100273611	 89820518104001025140
359627100275368	 89820518104001001460
359627100273041	 89820518104001028600
359627100273330	 89820518104001001790
359627100271581	 89820518104001009300
359627100271839	 89820518104001004760
359627100276937	 89820518104001029850
359627100270237	 89820518104001009140
359627100272969	 89820518104001000210
359627100271953	 89820518104001029440
359627100275673	 89820518104001003280
359627100271961	 89820518104001026390
359627100275442	 89820518104001001610
359627100271888	 89820518104001002600
359627100276895	 89820518104000751990
359627100277190	 89820518104001027460
359627100271391	 89820518104001005260
359627100272993	 89820518104001000540
359627100276929	 89820518104001025480
